VehicleMake,VehicleModel,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
ALFA ROMEO,145,11,5,45.45,6,54.55,1,9.09,3,27.27,3,27.27,2,18.18,2,18.18,0,0,3,27.27,2,18.18,0,0,0,0,2,18.18,2,18.18,0,0,0,0
ALFA ROMEO,146,29,7,24.14,22,75.86,4,13.79,8,27.59,6,20.69,7,24.14,4,13.79,4,13.79,8,27.59,4,13.79,2,6.9,1,3.45,9,31.03,4,13.79,1,3.45,0,0
ALFA ROMEO,147,625,197,31.52,428,68.48,118,18.88,158,25.28,179,28.64,55,8.8,96,15.36,44,7.04,41,6.56,175,28,20,3.2,103,16.48,67,10.72,22,3.52,6,0.96,0,0
ALFA ROMEO,155,12,4,33.33,8,66.67,5,41.67,3,25,4,33.33,3,25,4,33.33,1,8.33,2,16.67,4,33.33,1,8.33,1,8.33,4,33.33,4,33.33,0,0,0,0
ALFA ROMEO,156,950,278,29.26,672,70.74,145,15.26,259,27.26,348,36.63,115,12.11,152,16,67,7.05,97,10.21,326,34.32,25,2.63,176,18.53,132,13.89,43,4.53,5,0.53,0,0
ALFA ROMEO,159,548,289,52.74,259,47.26,36,6.57,75,13.69,110,20.07,9,1.64,65,11.86,12,2.19,11,2.01,78,14.23,48,8.76,23,4.2,41,7.48,9,1.64,1,0.18,0,0
ALFA ROMEO,166,25,10,40,15,60,4,16,8,32,4,16,2,8,6,24,3,12,2,8,4,16,2,8,1,4,4,16,0,0,0,0,0,0
ALFA ROMEO,BRERA,48,28,58.33,20,41.67,3,6.25,10,20.83,4,8.33,0,0,3,6.25,2,4.17,0,0,4,8.33,0,0,3,6.25,3,6.25,0,0,0,0,0,0
ALFA ROMEO,GIULIETTA,141,117,82.98,24,17.02,7,4.96,5,3.55,1,0.71,1,0.71,5,3.55,2,1.42,1,0.71,0,0,0,0,3,2.13,1,0.71,2,1.42,1,0.71,0,0
ALFA ROMEO,GT,343,135,39.36,208,60.64,52,15.16,79,23.03,75,21.87,21,6.12,52,15.16,29,8.45,19,5.54,78,22.74,13,3.79,48,13.99,31,9.04,22,6.41,2,0.58,0,0
ALFA ROMEO,GTV,18,7,38.89,11,61.11,2,11.11,1,5.56,4,22.22,2,11.11,0,0,1,5.56,2,11.11,5,27.78,0,0,2,11.11,5,27.78,3,16.67,0,0,0,0
ALFA ROMEO,MITO,62,36,58.06,26,41.94,4,6.45,6,9.68,6,9.68,1,1.61,9,14.52,2,3.23,0,0,2,3.23,7,11.29,3,4.84,2,3.23,0,0,0,0,0,0
ALFA ROMEO,OTHER,382,156,40.84,226,59.16,66,17.28,88,23.04,107,28.01,47,12.3,46,12.04,30,7.85,29,7.59,96,25.13,7,1.83,38,9.95,48,12.57,11,2.88,1,0.26,0,0
ALFA ROMEO,SPIDER,64,28,43.75,36,56.25,5,7.81,8,12.5,11,17.19,9,14.06,6,9.38,3,4.69,7,10.94,12,18.75,2,3.12,2,3.12,13,20.31,7,10.94,0,0,0,0
ARDAGH,OTHER,12,0,0,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100
ASTON MARTIN,OTHER,56,35,62.5,21,37.5,4,7.14,10,17.86,0,0,2,3.57,2,3.57,0,0,1,1.79,0,0,3,5.36,1,1.79,4,7.14,1,1.79,0,0,0,0
AUDI,100,17,7,41.18,10,58.82,2,11.76,4,23.53,0,0,3,17.65,2,11.76,3,17.65,1,5.88,2,11.76,1,5.88,2,11.76,5,29.41,2,11.76,0,0,0,0
AUDI,80,184,64,34.78,120,65.22,34,18.48,51,27.72,57,30.98,28,15.22,34,18.48,20,10.87,18,9.78,49,26.63,14,7.61,13,7.07,36,19.57,18,9.78,2,1.09,0,0
AUDI,A1,454,340,74.89,114,25.11,9,1.98,10,2.2,4,0.88,0,0,98,21.59,4,0.88,0,0,2,0.44,3,0.66,7,1.54,0,0,1,0.22,0,0,0,0
AUDI,A2,350,141,40.29,209,59.71,34,9.71,59,16.86,41,11.71,47,13.43,79,22.57,43,12.29,2,0.57,23,6.57,18,5.14,35,10,69,19.71,37,10.57,0,0,0,0
AUDI,A3,10906,5677,52.05,5229,47.95,966,8.86,1739,15.95,1073,9.84,723,6.63,1965,18.02,849,7.78,144,1.32,894,8.2,420,3.85,838,7.68,834,7.65,564,5.17,65,0.6,4,0.04
AUDI,A3 1.2,6,5,83.33,1,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.67,0,0,0,0,0,0,0,0
AUDI,A4,27081,12826,47.36,14255,52.64,3026,11.17,5072,18.73,5000,18.46,2242,8.28,5458,20.15,1334,4.93,516,1.91,3511,12.96,1539,5.68,2706,9.99,2451,9.05,1292,4.77,136,0.5,11,0.04
AUDI,A4 1.9 TDI 100 BHP 4DR,6,1,16.67,5,83.33,2,33.33,4,66.67,4,66.67,3,50,2,33.33,1,16.67,1,16.67,2,33.33,1,16.67,2,33.33,2,33.33,1,16.67,1,16.67,0,0
AUDI,A4 1.9 TDI 130 BHP 4DR,12,5,41.67,7,58.33,1,8.33,3,25,2,16.67,4,33.33,3,25,0,0,0,0,0,0,0,0,2,16.67,3,25,0,0,0,0,0,0
AUDI,A4 1.9 TDI 90BHP 5DR,4703,1461,31.07,3242,68.93,822,17.48,1398,29.73,1572,33.43,816,17.35,1080,22.96,348,7.4,198,4.21,1168,24.84,414,8.8,625,13.29,859,18.26,300,6.38,27,0.57,2,0.04
AUDI,A4 1.9 TDI SE 100BHP 4DR,13,5,38.46,8,61.54,1,7.69,2,15.38,6,46.15,4,30.77,3,23.08,0,0,1,7.69,5,38.46,1,7.69,2,15.38,3,23.08,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 113BHP 05DR,6,2,33.33,4,66.67,0,0,0,0,1,16.67,1,16.67,1,16.67,0,0,0,0,0,0,0,0,2,33.33,1,16.67,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 113BHP 4DR,16,9,56.25,7,43.75,0,0,2,12.5,1,6.25,0,0,3,18.75,1,6.25,0,0,1,6.25,0,0,3,18.75,0,0,1,6.25,0,0,0,0
AUDI,A4 1.9 TDI SE 115BHP 4DR,9,2,22.22,7,77.78,1,11.11,2,22.22,3,33.33,2,22.22,1,11.11,0,0,0,0,2,22.22,0,0,1,11.11,2,22.22,1,11.11,0,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 4DR,6,3,50,3,50,2,33.33,1,16.67,2,33.33,2,33.33,1,16.67,0,0,0,0,1,16.67,0,0,2,33.33,2,33.33,1,16.67,0,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 5DR,1454,460,31.64,994,68.36,255,17.54,416,28.61,499,34.32,249,17.13,286,19.67,89,6.12,63,4.33,369,25.38,116,7.98,158,10.87,246,16.92,81,5.57,14,0.96,0,0
AUDI,A4 1.9 TDI SE 130BHP 5SP 4DR,7,1,14.29,6,85.71,2,28.57,4,57.14,4,57.14,3,42.86,0,0,1,14.29,0,0,4,57.14,2,28.57,2,28.57,2,28.57,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 6 SPEED,15,8,53.33,7,46.67,2,13.33,4,26.67,0,0,2,13.33,1,6.67,0,0,0,0,1,6.67,0,0,2,13.33,2,13.33,1,6.67,0,0,0,0
AUDI,A4 1.9 TDI SPORT 100BHP 4DR,8,3,37.5,5,62.5,1,12.5,1,12.5,3,37.5,2,25,2,25,0,0,0,0,2,25,0,0,1,12.5,1,12.5,0,0,0,0,0,0
AUDI,A4 1.9 TDI SPORT 130BHP 4DR,18,6,33.33,12,66.67,3,16.67,6,33.33,5,27.78,2,11.11,3,16.67,1,5.56,2,11.11,5,27.78,0,0,2,11.11,2,11.11,0,0,0,0,0,0
AUDI,A4 1.9 TDI SPORT 130BHP 5DR,6,0,0,6,100,2,33.33,3,50,4,66.67,0,0,3,50,2,33.33,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI SPORT 130BHP 6SPEED,6,4,66.67,2,33.33,0,0,0,0,1,16.67,0,0,1,16.67,0,0,0,0,0,0,1,16.67,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9TDI QUATTRO SPORT 130BHP,9,5,55.56,4,44.44,1,11.11,3,33.33,2,22.22,1,11.11,1,11.11,0,0,0,0,0,0,0,0,0,0,1,11.11,1,11.11,0,0,0,0
AUDI,A4 1.9TDI SPORT 130BHP 6SP 4DR,16,9,56.25,7,43.75,1,6.25,2,12.5,4,25,1,6.25,4,25,0,0,0,0,3,18.75,1,6.25,1,6.25,1,6.25,1,6.25,0,0,0,0
AUDI,A4 CABRIOLET,22,11,50,11,50,3,13.64,3,13.64,5,22.73,3,13.64,2,9.09,2,9.09,0,0,4,18.18,0,0,3,13.64,3,13.64,0,0,0,0,0,0
AUDI,A4A,213,141,66.2,72,33.8,12,5.63,7,3.29,9,4.23,2,0.94,44,20.66,2,0.94,2,0.94,3,1.41,9,4.23,22,10.33,0,0,0,0,2,0.94,0,0
AUDI,A5,2258,1500,66.43,758,33.57,123,5.45,126,5.58,99,4.38,10,0.44,510,22.59,21,0.93,5,0.22,36,1.59,73,3.23,90,3.99,12,0.53,3,0.13,15,0.66,1,0.04
AUDI,A5 CABRIOLET,41,36,87.8,5,12.2,0,0,1,2.44,0,0,0,0,4,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A6,10519,5614,53.37,4905,46.63,1078,10.25,1749,16.63,1312,12.47,482,4.58,1823,17.33,603,5.73,164,1.56,972,9.24,247,2.35,945,8.98,612,5.82,242,2.3,54,0.51,3,0.03
AUDI,A6A,11,8,72.73,3,27.27,0,0,1,9.09,0,0,0,0,1,9.09,1,9.09,0,0,0,0,0,0,1,9.09,0,0,0,0,1,9.09,0,0
AUDI,A7,108,72,66.67,36,33.33,5,4.63,7,6.48,0,0,0,0,27,25,0,0,0,0,2,1.85,0,0,1,0.93,1,0.93,0,0,0,0,1,0.93
AUDI,A7 TDI,65,48,73.85,17,26.15,5,7.69,5,7.69,0,0,0,0,9,13.85,1,1.54,0,0,0,0,0,0,1,1.54,0,0,1,1.54,0,0,0,0
AUDI,A8,275,137,49.82,138,50.18,72,26.18,31,11.27,9,3.27,4,1.45,64,23.27,8,2.91,1,0.36,12,4.36,2,0.73,6,2.18,8,2.91,1,0.36,4,1.45,1,0.36
AUDI,A8L,12,4,33.33,8,66.67,4,33.33,0,0,1,8.33,0,0,6,50,0,0,0,0,1,8.33,1,8.33,0,0,0,0,0,0,0,0,0,0
AUDI,ALLROAD,99,39,39.39,60,60.61,13,13.13,23,23.23,22,22.22,14,14.14,23,23.23,14,14.14,2,2.02,24,24.24,8,8.08,4,4.04,14,14.14,1,1.01,0,0,0,0
AUDI,OTHER,571,184,32.22,387,67.78,89,15.59,157,27.5,158,27.67,75,13.13,119,20.84,45,7.88,22,3.85,140,24.52,36,6.3,45,7.88,76,13.31,70,12.26,7,1.23,1,0.18
AUDI,Q3,325,272,83.69,53,16.31,8,2.46,3,0.92,0,0,0,0,45,13.85,0,0,1,0.31,0,0,1,0.31,5,1.54,0,0,0,0,0,0,0,0
AUDI,Q5,364,288,79.12,76,20.88,6,1.65,7,1.92,7,1.92,0,0,55,15.11,4,1.1,0,0,2,0.55,2,0.55,11,3.02,0,0,0,0,2,0.55,2,0.55
AUDI,Q7,581,330,56.8,251,43.2,101,17.38,55,9.47,40,6.88,16,2.75,69,11.88,16,2.75,4,0.69,54,9.29,4,0.69,34,5.85,26,4.47,2,0.34,8,1.38,4,0.69
AUDI,R8,13,8,61.54,5,38.46,4,30.77,1,7.69,0,0,0,0,1,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,RS4,27,15,55.56,12,44.44,2,7.41,3,11.11,5,18.52,0,0,1,3.7,2,7.41,0,0,0,0,5,18.52,2,7.41,0,0,2,7.41,0,0,0,0
AUDI,RS6,12,8,66.67,4,33.33,1,8.33,1,8.33,0,0,0,0,0,0,1,8.33,0,0,1,8.33,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,S3,101,45,44.55,56,55.45,8,7.92,22,21.78,11,10.89,3,2.97,16,15.84,13,12.87,1,0.99,9,8.91,9,8.91,9,8.91,3,2.97,7,6.93,1,0.99,0,0
AUDI,S4,24,8,33.33,16,66.67,2,8.33,5,20.83,6,25,3,12.5,10,41.67,1,4.17,2,8.33,7,29.17,1,4.17,1,4.17,2,8.33,2,8.33,1,4.17,0,0
AUDI,S5,18,11,61.11,7,38.89,2,11.11,0,0,1,5.56,0,0,5,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,S6,10,5,50,5,50,3,30,2,20,2,20,0,0,1,10,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,S8,12,5,41.67,7,58.33,2,16.67,3,25,2,16.67,1,8.33,3,25,0,0,0,0,2,16.67,0,0,0,0,1,8.33,0,0,0,0,0,0
AUDI,TT,1489,693,46.54,796,53.46,111,7.45,356,23.91,219,14.71,56,3.76,270,18.13,186,12.49,13,0.87,205,13.77,84,5.64,76,5.1,64,4.3,55,3.69,1,0.07,6,0.4
AUDI,TTS,8,4,50,4,50,3,37.5,1,12.5,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,1,12.5,0,0,0,0
AUSTIN,COOPER,102,23,22.55,79,77.45,33,32.35,30,29.41,37,36.27,7,6.86,14,13.73,5,4.9,37,36.27,41,40.2,6,5.88,12,11.76,14,13.73,23,22.55,2,1.96,0,0
AUSTIN,MINI,162,43,26.54,119,73.46,49,30.25,38,23.46,49,30.25,9,5.56,23,14.2,16,9.88,50,30.86,46,28.4,9,5.56,25,15.43,34,20.99,42,25.93,0,0,1,0.62
AUSTIN,OTHER,6,3,50,3,50,0,0,0,0,0,0,0,0,1,16.67,0,0,0,0,1,16.67,0,0,1,16.67,0,0,0,0,0,0,0,0
