VehicleMake,VehicleModel,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
ALFA ROMEO,145,11.0,5.0,45.4545,6.0,54.5455,1.0,9.0909,3.0,27.2727,3.0,27.2727,2.0,18.1818,2.0,18.1818,0.0,0.0,3.0,27.2727,2.0,18.1818,0.0,0.0,0.0,0.0,2.0,18.1818,2.0,18.1818,0.0,0.0,0.0,0.0
ALFA ROMEO,146,29.0,7.0,24.1379,22.0,75.8621,4.0,13.7931,8.0,27.5862,6.0,20.6897,7.0,24.1379,4.0,13.7931,4.0,13.7931,8.0,27.5862,4.0,13.7931,2.0,6.8966,1.0,3.4483,9.0,31.0345,4.0,13.7931,1.0,3.4483,0.0,0.0
ALFA ROMEO,147,625.0,197.0,31.52,428.0,68.48,118.0,18.88,158.0,25.28,179.0,28.64,55.0,8.8,96.0,15.36,44.0,7.04,41.0,6.56,175.0,28.0,20.0,3.2,103.0,16.48,67.0,10.72,22.0,3.52,6.0,0.96,0.0,0.0
ALFA ROMEO,155,12.0,4.0,33.3333,8.0,66.6667,5.0,41.6667,3.0,25.0,4.0,33.3333,3.0,25.0,4.0,33.3333,1.0,8.3333,2.0,16.6667,4.0,33.3333,1.0,8.3333,1.0,8.3333,4.0,33.3333,4.0,33.3333,0.0,0.0,0.0,0.0
ALFA ROMEO,156,950.0,278.0,29.2632,672.0,70.7368,145.0,15.2632,259.0,27.2632,348.0,36.6316,115.0,12.1053,152.0,16.0,67.0,7.0526,97.0,10.2105,326.0,34.3158,25.0,2.6316,176.0,18.5263,132.0,13.8947,43.0,4.5263,5.0,0.5263,0.0,0.0
ALFA ROMEO,159,548.0,289.0,52.7372,259.0,47.2628,36.0,6.5693,75.0,13.6861,110.0,20.073,9.0,1.6423,65.0,11.8613,12.0,2.1898,11.0,2.0073,78.0,14.2336,48.0,8.7591,23.0,4.1971,41.0,7.4818,9.0,1.6423,1.0,0.1825,0.0,0.0
ALFA ROMEO,166,25.0,10.0,40.0,15.0,60.0,4.0,16.0,8.0,32.0,4.0,16.0,2.0,8.0,6.0,24.0,3.0,12.0,2.0,8.0,4.0,16.0,2.0,8.0,1.0,4.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,BRERA,48.0,28.0,58.3333,20.0,41.6667,3.0,6.25,10.0,20.8333,4.0,8.3333,0.0,0.0,3.0,6.25,2.0,4.1667,0.0,0.0,4.0,8.3333,0.0,0.0,3.0,6.25,3.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,GIULIETTA,141.0,117.0,82.9787,24.0,17.0213,7.0,4.9645,5.0,3.5461,1.0,0.7092,1.0,0.7092,5.0,3.5461,2.0,1.4184,1.0,0.7092,0.0,0.0,0.0,0.0,3.0,2.1277,1.0,0.7092,2.0,1.4184,1.0,0.7092,0.0,0.0
ALFA ROMEO,GT,343.0,135.0,39.3586,208.0,60.6414,52.0,15.1603,79.0,23.0321,75.0,21.8659,21.0,6.1224,52.0,15.1603,29.0,8.4548,19.0,5.5394,78.0,22.7405,13.0,3.7901,48.0,13.9942,31.0,9.0379,22.0,6.414,2.0,0.5831,0.0,0.0
