VehicleMake,Total,ALFA ROMEO,ARDAGH,ASTON MARTIN,AUDI,AUSTIN,BEAUFORD,BENTLEY,BINZ,BMW,CADILLAC,CHEVROLET,CHRYSLER,CITROEN,DACIA,DAEWOO,DAIHATSU,DAIMLER,DE LOREAN,DODGE,FAIRWAY,FERRARI,FIAT,FORD,HOLDEN,HONDA,HUMMER,HYUNDAI,ISUZU,JAGUAR,JEEP,KIA,LANCIA,LANDROVER,LEXUS,LEYLAND,LINCOLN,LOTUS,MAKE UNSPECIFIED,MASERATI,MAZDA,MERCEDES BENZ,MG,MINI,MITSUBISHI,MITSUOKA,MORGAN,NISSAN,OPEL,PERODUA,PEUGEOT,PORSCHE,PROTON,REGENT,RENAULT,ROLLS ROYCE,ROVER,SAAB,SEAT,SKODA,SMART,SSANGYONG,SUBARU,SUZUKI,TATA,TOYOTA,TRIUMPH,VAUXHALL,VOLKSWAGEN,VOLVO
VehicleAndSafetyEquipment,152465,452,0,4,6836,83,4,14,0,5916,0,682,313,3077,9,599,319,6,1,46,4,6,3532,16402,3,3923,5,4583,25,515,29,1688,6,896,665,13,4,15,90,20,2707,3572,90,710,2051,1,5,11252,9532,1,6994,111,1,2,9500,10,611,798,3027,3785,64,219,471,1779,3,20979,0,2195,19726,1621
LightingAndElectrical,294480,711,0,11,11367,70,6,30,0,9834,1,1328,526,6751,14,715,464,12,0,66,2,4,4802,34580,0,8078,2,8404,21,601,26,3163,6,1446,1187,21,3,11,129,8,5838,7060,183,1816,3274,2,2,24067,16474,6,16269,196,1,1,17649,4,941,1343,5464,7485,91,252,776,2898,0,45821,1,3319,35369,3656
SteeringAndSuspension,225421,862,0,0,10214,87,7,17,0,10882,5,934,379,5191,0,646,247,7,0,74,1,4,3852,27840,1,6283,0,6700,16,588,40,1995,3,1175,600,19,0,5,91,5,4423,8693,80,1042,2548,1,3,14454,17000,3,13956,79,4,2,16959,11,777,1780,3669,5886,60,237,474,2134,3,15288,1,4400,29653,3180
BrakingEquipment,137322,274,0,2,4817,16,1,10,0,7141,0,561,201,1768,2,705,179,2,0,15,1,1,1846,15003,2,2775,0,5167,10,337,7,1278,5,827,332,5,0,4,55,3,1875,5311,27,795,2227,0,2,8439,10017,2,5989,42,3,1,4910,2,539,323,2687,3643,28,94,273,1754,1,25172,0,2222,16320,1372
WheelsAndTyres,203851,450,0,2,12153,38,4,31,0,8216,1,873,244,4396,2,554,268,9,0,29,1,3,3582,25291,4,4660,2,5231,12,539,10,1860,3,666,838,7,4,6,54,7,3829,5424,109,1827,1998,2,1,13609,11805,6,9511,89,5,0,13411,10,488,931,4642,5324,45,172,418,2266,3,24764,0,2642,28395,2183
EngineNoiseAndExhaust,87762,200,0,0,3623,21,0,8,0,1598,1,352,69,1533,0,267,242,2,0,5,2,1,2028,7884,2,1704,0,3509,12,102,5,668,2,543,100,6,0,1,49,1,1134,976,83,641,751,1,2,6463,7142,1,4322,45,0,2,6562,3,461,455,2486,2941,21,53,280,1493,0,8874,0,1255,15890,933
ChassisAndBody,79765,222,0,1,1165,87,0,9,0,1275,0,565,85,898,0,729,423,9,0,4,0,0,2422,14510,1,2055,0,2124,10,239,1,626,3,238,303,16,0,0,41,1,2908,1519,33,121,1732,1,2,15092,3634,0,1874,25,5,0,2946,4,360,164,1052,750,15,53,178,1201,5,10248,1,620,6885,330
SideSlipTest,167860,790,0,0,7539,89,4,18,0,8961,5,745,336,3430,0,516,207,4,0,72,1,3,2433,20808,0,4847,1,5092,8,476,39,1391,2,1026,515,19,0,7,75,7,3207,7747,67,959,1940,1,3,11573,9553,1,10694,63,2,2,14175,10,643,1250,2883,4838,45,199,260,1690,3,7504,0,2449,24212,2545
SuspensionTest,78902,127,0,3,3016,16,1,14,0,3444,1,277,50,1304,0,117,59,2,0,13,0,0,1638,9769,1,1199,0,1818,12,219,11,427,1,259,343,5,2,1,28,4,1768,3536,10,111,482,0,1,3358,7937,0,2799,34,1,1,5286,7,142,608,1202,2062,29,49,228,649,0,10536,0,2643,10159,1142
LightTest,102077,404,0,1,5672,38,3,6,0,3764,0,389,151,2253,8,198,83,3,0,15,1,4,2041,13610,0,2714,1,2140,5,197,10,1128,2,361,373,5,1,3,39,5,1022,2719,49,731,1149,0,0,9311,6881,2,5613,81,2,1,5245,5,304,352,1650,2360,50,64,270,620,0,12606,0,1575,12661,1214
BrakeTest,175198,362,0,4,5357,48,2,16,0,8800,1,864,421,2284,2,963,245,7,0,21,3,1,2971,19852,2,3367,0,6692,13,405,12,1980,7,882,455,11,3,6,70,5,2760,6360,48,820,2451,0,2,11803,12685,2,7115,50,8,3,6176,8,708,456,3431,4723,36,157,248,2352,0,31909,0,2754,19832,2298
Emmissions,79999,129,0,1,2694,65,4,7,0,1702,2,241,69,1565,1,257,348,5,0,10,1,5,2127,10534,1,1974,1,2442,12,222,4,515,2,293,218,13,2,7,31,2,1563,1774,76,597,1197,0,2,4709,4804,0,5858,42,2,0,2619,3,372,280,2356,2271,27,70,418,885,1,9406,0,1019,13516,679
OTHER,6609,17,0,0,341,2,0,2,0,428,0,21,30,126,0,16,11,3,0,2,0,0,118,691,0,180,5,139,1,55,1,49,0,56,47,0,6,0,19,1,106,240,1,50,78,0,0,467,317,0,328,2,0,0,311,0,15,34,99,146,3,5,12,66,0,898,0,74,908,94
Incompletable,1071,0,12,0,36,1,0,2,0,33,0,2,3,23,0,0,4,0,0,0,0,0,28,63,0,59,0,47,0,2,0,18,0,29,27,0,0,0,0,0,14,27,1,4,12,0,0,103,30,0,39,0,0,0,50,1,3,3,12,16,0,1,20,21,0,193,0,10,102,21
