VehicleMake,VehicleModel,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
ALFA ROMEO,145,11,5,27,6,18,1,2,3,9,3,9,2,6,2,7,0,0,3,8,2,4,0,0,0,0,2,6,2,6,0,0,0,0
ALFA ROMEO,146,29,7,3,22,13,4,2,8,7,6,2,7,2,4,4,4,1,8,3,4,1,2,1,1,0,9,3,4,1,1,0,0,0
ALFA ROMEO,147,625,197,0,428,1,118,0,158,0,179,0,55,0,96,0,44,0,41,0,175,0,20,0,103,0,67,0,22,0,6,0,0,0
ALFA ROMEO,155,12,4,15,8,25,5,15,3,9,4,14,3,11,4,11,1,2,2,8,4,14,1,2,1,4,4,14,4,12,0,0,0,0
ALFA ROMEO,156,950,278,0,672,0,145,0,259,0,348,0,115,0,152,0,67,0,97,0,326,0,25,0,176,0,132,0,43,0,5,0,0,0
ALFA ROMEO,159,548,289,0,259,0,36,0,75,0,110,0,9,0,65,0,12,0,11,0,78,0,48,0,23,0,41,0,9,0,1,0,0,0
ALFA ROMEO,164,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,166,25,10,9,15,18,4,5,8,8,4,5,2,4,6,11,3,2,2,5,4,5,2,1,1,1,4,6,0,0,0,0,0,0
ALFA ROMEO,BRERA,48,28,5,20,5,3,0,10,1,4,0,0,0,3,0,2,0,0,0,4,0,0,0,3,2,3,0,0,0,0,0,0,0
ALFA ROMEO,GIULIETTA,141,117,1,24,0,7,0,5,0,1,0,1,0,5,0,2,0,1,0,0,0,0,0,3,0,1,0,2,0,1,0,0,0
ALFA ROMEO,GT,343,135,1,208,0,52,0,79,0,75,0,21,0,52,0,29,0,19,0,78,0,13,0,48,0,31,0,22,0,2,0,0,0
ALFA ROMEO,GTV,18,7,12,11,15,2,3,1,2,4,7,2,2,0,0,1,1,2,2,5,8,0,0,2,2,5,5,3,2,0,0,0,0
ALFA ROMEO,MITO,62,36,4,26,2,4,0,6,0,6,0,1,0,9,0,2,0,0,0,2,0,7,0,3,0,2,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,382,156,3,226,3,66,0,88,1,107,0,47,0,46,0,30,0,29,0,96,0,7,0,38,0,48,0,11,0,1,0,0,0
ALFA ROMEO,SPIDER,64,28,11,36,13,5,2,8,3,11,4,9,2,6,3,3,1,7,2,12,3,2,1,2,0,13,3,7,2,0,0,0,0
ARDAGH,OTHER,12,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
ASQUITH,OTHER,2,1,25,1,25,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,DB9,2,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,56,35,15,21,7,4,2,10,3,0,0,2,0,2,0,0,0,1,1,0,0,3,0,1,0,4,2,1,1,0,0,0,0
AUDI,100,17,7,26,10,26,2,3,4,13,0,0,3,10,2,3,3,9,1,2,2,5,1,2,2,8,5,15,2,4,0,0,0,0
AUDI,200,3,0,0,3,66,2,50,1,16,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0
AUDI,80,184,64,3,120,4,34,1,51,1,57,2,28,0,34,1,20,0,18,0,49,1,14,0,13,0,36,0,18,0,2,0,0,0
AUDI,90,2,1,50,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
AUDI,A1,454,340,0,114,0,9,0,10,0,4,0,0,0,98,0,4,0,0,0,2,0,3,0,7,0,0,0,1,0,0,0,0,0
AUDI,A2,350,141,0,209,1,34,0,59,0,41,0,47,0,79,0,43,0,2,0,23,0,18,0,35,0,69,0,37,0,0,0,0,0
AUDI,A3,10906,5677,0,5229,0,966,0,1739,0,1073,0,723,0,1965,0,849,0,144,0,894,0,420,0,838,0,834,0,564,0,65,0,4,0
AUDI,A3 1.2,6,5,41,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
AUDI,A3 1.9 TDI QUATTRO SPORT,2,0,0,2,50,0,0,0,0,0,0,2,50,0,0,2,50,0,0,1,25,0,0,0,0,2,50,2,50,0,0,0,0
AUDI,A3 SE,1,0,0,1,100,1,100,0,0,1,100,1,100,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0
AUDI,A4,27081,12826,0,14255,0,3026,0,5072,0,5000,0,2242,0,5458,0,1334,0,516,0,3511,0,1539,0,2706,0,2451,0,1292,0,136,0,11,0
AUDI,A4 1.8 TFSI 120,1,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
AUDI,A4 1.8 TSE 150BHP 4DR,1,0,0,1,100,0,0,1,100,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI 100 BHP 4DR,6,1,5,5,27,2,11,4,22,4,22,3,16,2,11,1,5,1,5,2,11,1,5,2,11,2,11,1,5,1,5,0,0
AUDI,A4 1.9 TDI 113BHP 4DR,5,2,25,3,15,0,0,0,0,1,5,1,5,0,0,0,0,0,0,0,0,1,5,0,0,1,5,1,5,0,0,0,0
AUDI,A4 1.9 TDI 115 BHP 4DR,3,2,50,1,16,0,0,0,0,1,16,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI 115 BHP 5DR,2,0,0,2,50,2,50,1,25,1,25,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI 115 BHP SPORT 5DR,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI 130 BHP 4DR,12,5,17,7,15,1,2,3,7,2,4,4,9,3,6,0,0,0,0,0,0,0,0,2,4,3,6,0,0,0,0,0,0
AUDI,A4 1.9 TDI 130BHP 6SPEED 4DR,4,3,25,1,25,0,0,0,0,1,25,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI 90BHP 5DR,4703,1461,0,3242,0,822,0,1398,0,1572,0,816,0,1080,0,348,0,198,0,1168,0,414,0,625,0,859,0,300,0,27,0,2,0
AUDI,A4 1.9 TDI SE 100BHP 4DR,13,5,4,8,18,1,0,2,8,6,17,4,11,3,4,0,0,1,0,5,14,1,2,2,5,3,4,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 100BHP 5DR,4,1,25,3,50,1,25,0,0,2,25,0,0,2,37,0,0,0,0,2,25,1,12,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 110BHP 5DR,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 113BHP 05DR,6,2,25,4,41,0,0,0,0,1,8,1,8,1,8,0,0,0,0,0,0,0,0,2,25,1,8,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 113BHP 4DR,16,9,12,7,12,0,0,2,2,1,0,0,0,3,6,1,3,0,0,1,0,0,0,3,4,0,0,1,0,0,0,0,0
AUDI,A4 1.9 TDI SE 115BHP 4DR,9,2,12,7,31,1,11,2,12,3,5,2,12,1,1,0,0,0,0,2,3,0,0,1,11,2,12,1,1,0,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 4DR,6,3,30,3,19,2,13,1,5,2,13,2,13,1,5,0,0,0,0,1,8,0,0,2,11,2,13,1,5,0,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 5DR,1454,460,0,994,0,255,0,416,0,499,0,249,0,286,0,89,0,63,0,369,0,116,0,158,0,246,0,81,0,14,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 5SP 4DR,7,1,3,6,39,2,7,4,25,4,28,3,25,0,0,1,7,0,0,4,21,2,17,2,10,2,17,0,0,0,0,0,0
AUDI,A4 1.9 TDI SE 130BHP 6 SPEED,15,8,7,7,6,2,1,4,3,0,0,2,1,1,0,0,0,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,0
AUDI,A4 1.9 TDI SPORT 100BHP 4DR,8,3,11,5,26,1,6,1,6,3,11,2,15,2,5,0,0,0,0,2,8,0,0,1,2,1,2,0,0,0,0,0,0
