Age,Total,PASS,PASS%,FAIL,FAIL%,VehicleAndSafetyEquipment,VehicleAndSafetyEquipment%,LightingAndElectrical,LightingAndElectrical%,SteeringAndSuspension,SteeringAndSuspension%,BrakingEquipment,BrakingEquipment%,WheelsAndTyres,WheelsAndTyres%,EngineNoiseAndExhaust,EngineNoiseAndExhaust%,ChassisAndBody,ChassisAndBody%,SideSlipTest,SideSlipTest%,SuspensionTest,SuspensionTest%,LightTest,LightTest%,BrakeTest,BrakeTest%,Emmissions,Emmissions%,OTHER,OTHER%,Incompletable,Incompletable%
0,191.0,166.0,86.91,25.0,13.09,6.0,3.14,11.0,5.76,0.0,0.0,0.0,0.0,6.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.09,0.0,0.0,1.0,0.52,0.0,0.0,1.0,0.52
1,754.0,611.0,81.03,143.0,18.97,45.0,5.97,35.0,4.64,5.0,0.66,4.0,0.53,44.0,5.84,1.0,0.13,0.0,0.0,6.0,0.8,6.0,0.8,16.0,2.12,1.0,0.13,3.0,0.4,0.0,0.0,14.0,1.86
2,926.0,765.0,82.61,161.0,17.39,45.0,4.86,43.0,4.64,12.0,1.3,5.0,0.54,46.0,4.97,6.0,0.65,2.0,0.22,7.0,0.76,5.0,0.54,24.0,2.59,8.0,0.86,6.0,0.65,0.0,0.0,5.0,0.54
3,15954.0,13590.0,85.18,2364.0,14.82,524.0,3.28,630.0,3.95,175.0,1.1,60.0,0.38,756.0,4.74,75.0,0.47,35.0,0.22,151.0,0.95,115.0,0.72,299.0,1.87,84.0,0.53,53.0,0.33,15.0,0.09,26.0,0.16
4,91310.0,73121.0,80.08,18189.0,19.92,3983.0,4.36,5159.0,5.65,1746.0,1.91,595.0,0.65,6047.0,6.62,381.0,0.42,296.0,0.32,1302.0,1.43,1252.0,1.37,2600.0,2.85,837.0,0.92,372.0,0.41,211.0,0.23,109.0,0.12
5,33221.0,24692.0,74.33,8529.0,25.67,1488.0,4.48,2679.0,8.06,1205.0,3.63,411.0,1.24,2695.0,8.11,325.0,0.98,235.0,0.71,888.0,2.67,771.0,2.32,1252.0,3.77,553.0,1.66,269.0,0.81,69.0,0.21,40.0,0.12
6,112069.0,76739.0,68.47,35330.0,31.53,5545.0,4.95,12121.0,10.82,6698.0,5.98,1866.0,1.67,10228.0,9.13,1537.0,1.37,928.0,0.83,4746.0,4.23,3535.0,3.15,5311.0,4.74,2578.0,2.3,2493.0,2.22,240.0,0.21,102.0,0.09
7,29081.0,17357.0,59.69,11724.0,40.31,1883.0,6.48,4065.0,13.98,2987.0,10.27,906.0,3.12,3261.0,11.21,712.0,2.45,344.0,1.18,2240.0,7.7,1424.0,4.9,1789.0,6.15,1153.0,3.96,939.0,3.23,79.0,0.27,32.0,0.11
8,161313.0,90996.0,56.41,70317.0,43.59,11446.0,7.1,25635.0,15.89,19641.0,12.18,6086.0,3.77,19317.0,11.97,4830.0,2.99,2138.0,1.33,14962.0,9.28,8223.0,5.1,9616.0,5.96,8150.0,5.05,4902.0,3.04,568.0,0.35,146.0,0.09
9,94246.0,50222.0,53.29,44024.0,46.71,7318.0,7.76,16647.0,17.66,13048.0,13.84,5133.0,5.45,11104.0,11.78,4092.0,4.34,1706.0,1.81,10149.0,10.77,5284.0,5.61,5411.0,5.74,6895.0,7.32,2775.0,2.94,344.0,0.37,76.0,0.08
10,126911.0,57206.0,45.08,69705.0,54.92,13279.0,10.46,28822.0,22.71,21452.0,16.9,10129.0,7.98,19619.0,15.46,7192.0,5.67,3483.0,2.74,16368.0,12.9,8605.0,6.78,9557.0,7.53,13093.0,10.32,5690.0,4.48,631.0,0.5,97.0,0.08
11,177427.0,76781.0,43.27,100646.0,56.73,18891.0,10.65,41221.0,23.23,31917.0,17.99,19137.0,10.79,26681.0,15.04,10725.0,6.04,5620.0,3.17,24120.0,13.59,10828.0,6.1,13592.0,7.66,23353.0,13.16,8556.0,4.82,852.0,0.48,132.0,0.07
12,152021.0,61335.0,40.35,90686.0,59.65,18113.0,11.91,37159.0,24.44,28583.0,18.8,20172.0,13.27,23370.0,15.37,10911.0,7.18,6572.0,4.32,21569.0,14.19,8741.0,5.75,12119.0,7.97,24453.0,16.09,9008.0,5.93,758.0,0.5,76.0,0.05
13,125021.0,46094.0,36.87,78927.0,63.13,16899.0,13.52,31961.0,25.56,24803.0,19.84,18367.0,14.69,20254.0,16.2,10375.0,8.3,7672.0,6.14,18836.0,15.07,7333.0,5.87,11040.0,8.83,22558.0,18.04,10491.0,8.39,656.0,0.52,67.0,0.05
14,103779.0,35344.0,34.06,68435.0,65.94,15275.0,14.72,27788.0,26.78,22240.0,21.43,16435.0,15.84,18031.0,17.37,9821.0,9.46,9885.0,9.53,16792.0,16.18,6620.0,6.38,9709.0,9.36,20676.0,19.92,8325.0,8.02,617.0,0.59,50.0,0.05
15,76542.0,25170.0,32.88,51372.0,67.12,11577.0,15.13,20246.0,26.45,16672.0,21.78,12051.0,15.74,13577.0,17.74,8132.0,10.62,9840.0,12.86,12251.0,16.01,4899.0,6.4,6588.0,8.61,15865.0,20.73,7044.0,9.2,516.0,0.67,26.0,0.03
16,74330.0,23415.0,31.5,50915.0,68.5,11508.0,15.48,18727.0,25.19,15611.0,21.0,12106.0,16.29,13441.0,18.08,8080.0,10.87,13018.0,17.51,10645.0,14.32,5052.0,6.8,6356.0,8.55,16009.0,21.54,8584.0,11.55,510.0,0.69,32.0,0.04
17,37192.0,11608.0,31.21,25584.0,68.79,5895.0,15.85,9203.0,24.74,7915.0,21.28,6209.0,16.69,6735.0,18.11,4251.0,11.43,7269.0,19.54,5387.0,14.48,2414.0,6.49,3237.0,8.7,8186.0,22.01,4393.0,11.81,244.0,0.66,14.0,0.04
18,19477.0,6103.0,31.33,13374.0,68.67,3152.0,16.18,4806.0,24.68,4244.0,21.79,2914.0,14.96,3438.0,17.65,2433.0,12.49,3698.0,18.99,2809.0,14.42,1456.0,7.48,1440.0,7.39,4152.0,21.32,2331.0,11.97,115.0,0.59,6.0,0.03
19,12143.0,3955.0,32.57,8188.0,67.43,1950.0,16.06,2939.0,24.2,2335.0,19.23,1673.0,13.78,2048.0,16.87,1540.0,12.68,2526.0,20.8,1585.0,13.05,856.0,7.05,753.0,6.2,2394.0,19.72,1437.0,11.83,63.0,0.52,4.0,0.03
20,6759.0,2228.0,32.96,4531.0,67.04,1106.0,16.36,1536.0,22.73,1327.0,19.63,1001.0,14.81,1128.0,16.69,803.0,11.88,1439.0,21.29,964.0,14.26,453.0,6.7,424.0,6.27,1393.0,20.61,857.0,12.68,52.0,0.77,6.0,0.09
